#header_line 1:  mpirun --map-by socket --mca pml ob1 --mca btl self,vader  ./IMB-MPI1 PingPong -msglog 28 
#header_line 2: ct1pt-tnode010.hpc,ct1pt-tnode009.hpc
#header_line 3: ,0.853436503350246, 3258.49763597279
#header: #bytes ,#repetitions , t[usec]  , Mbytes/sec,    t[usec] (computed) , Mbytes/sec (computed)
0,1000,0.596,0,0.853129616632592,0
1,1000,0.672,1.494,0.853436503350246,1.17173333467037
2,1000,0.664,3.012,0.8537433900679,2.34262428648605
4,1000,0.668,5.984,0.854357163503209,4.68188267257968
8,1000,0.665,12.011,0.855584710373826,9.35033071886547
16,1000,0.719,22.254,0.85803980411506,18.6471535740718
32,1000,0.763,41.934,0.862949991597528,37.0821024527277
64,1000,0.852,75.237,0.872770366562464,73.3297124329203
128,1000,0.975,131.187,0.892411116492337,143.431651213748
256,1000,1.23,208.436,0.931692616352083,274.768733278507
512,1000,1.174,436.594,1.01025561607157,506.802428865415
1024,1000,1.543,665.272,1.16738161551056,877.176740146066
2048,1000,1.855,1109.951,1.48163361438852,1382.25805631794
4096,1000,2.959,1385.228,2.11013761214446,1941.10563046994
8192,1000,3.369,2433.731,3.36714560765632,2432.92122009003
16384,1000,3.791,4322.911,5.88116159868005,2785.8442120817
32768,1000,4.834,6783.47,10.9091935807275,3003.70506376281
65536,640,6.192,10591.806,20.9652575448224,3125.93345728704
131072,320,9.407,13937.517,41.0773854730123,3190.85546683865
262144,160,15.93,16454.928,81.301641329392,3224.33834930747
524288,80,32.979,15899.576,161.750153042151,3241.34469204102
1048576,40,87.236,12021.279,322.64717646767,3249.91531455435
2097152,20,203.053,10328.749,644.441223318708,3254.2176448617
4194304,10,423.213,9911.176,1288.02931702078,3256.37308450513
8388608,5,1135.94,7386.145,2575.20550442493,3257.45187542741
16777216,2,4026.195,4167.278,5149.55787923324,3257.99153897424
33554432,1,10401.613,3225.997,10298.2626288498,3258.26143780794
67108864,1,21018.929,3192.868,20595.672128083,3258.39640399472
134217728,1,41684.519,3219.928,41190.4911265495,3258.4638912812
268435456,1,81638.551,3288.196,82380.1291234823,3258.49763597279
