#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.432,0.0,0.0,0.015
1,1000.0,0.435,2.303,0.075,0.015
2,1000.0,0.43,4.66,0.07,0.01
4,1000.0,0.43,9.319,0.135,0.01
8,1000.0,0.43,18.628,0.295,0.01
16,1000.0,0.431,37.174,1.145,0.015
32,1000.0,0.574,55.663,2.275,0.025
64,1000.0,0.593,108.05,4.765,0.025
128,1000.0,1.056,121.245,6.725,0.06
256,1000.0,1.102,232.427,10.44,0.05
512,1000.0,1.205,424.921,8.565,0.025
1024,1000.0,1.462,701.232,18.435,0.04
2048,1000.0,2.086,982.083,10.71,0.025
4096,1000.0,2.951,1387.431,13.265,0.025
8192,1000.0,4.66,1758.266,15.06,0.04
16384,1000.0,7.165,2286.785,53.075,0.17
32768,1000.0,12.726,2575.062,46.245,0.235
65536,640.0,23.628,2774.007,57.155,0.485
131072,320.0,43.827,2991.385,93.365,1.365
262144,160.0,14.735,17792.837,294.625,0.24
524288,80.0,26.772,19585.324,358.055,0.495
1048576,40.0,61.738,16987.543,523.86,1.91
2097152,20.0,162.896,12876.204,377.36,4.945
4194304,10.0,359.716,11660.291,132.12,4.09
8388608,5.0,794.147,10563.753,214.29,16.26
16777216,2.0,2522.52,6651.806,166.43,64.985
33554432,1.0,6957.564,4823.034,92.795,137.545
67108864,1.0,14439.735,4647.851,94.905,304.09
134217728,1.0,28935.688,4638.811,92.53,595.865
268435456,1.0,57902.917,4636.314,94.965,1227.1
